№;ID задачи;Заголовок;Основание;План по стандартизации;Квартал;Вид ТЗ;Stage;Срок разработки;История согласования;Количество возвратов от ДЭПиР;Отклонения;Количество возвратов от ОИВ;Отклонения;Срок доработки АЦ;Срок доработки ДЭПиР;Исполнитель;Руководитель группы;Курирующий заместитель руководителя ПО;Исполнитель ДЭПиР;Контракт;ПЦП;Критерии оценки;Форма 2;Способы определения поставщика (подрядчика, исполнителя);Теги;Реквизиты писем и протоколов;КТД;Описание;Дата создания;"Время нахождения в статусе ""Запланировано""";Отклонения;"Время нахождения в статусе ""В работе АЦ""";Отклонения;"Время нахождения в статусе ""Доработка ОИВ""";Отклонения;"Время нахождения в статусе ""Доработка ДЭПиР""";Отклонения;"Время нахождения в статусе ""Внут. согл.""";Отклонения;"Время нахождения в статусе ""В ДЭПиР""";Отклонения;"Время нахождения в статусе ""На согл. в ОИВ""";Отклонения;"Время нахождения в статусе ""Подготовка к РГ""";Отклонения;"Время нахождения в статусе ""РГ""";Отклонения;"Время нахождения в статусе ""МРГ""";Отклонения;"Время нахождения в статусе ""Загрузка в ЕАИСТ""";Отклонения;"Дата присвоения статуса ""РГ""";"Дата присвоения статуса ""Завершено""";Длительность;Отклонения
146;FR-196;Оказание услуг по PR-сопровождению деятельности органов исполнительной власти и подведомственных им организаций;План по стандартизации;2021;3;ТТЗ;Внут. согл.;15.09.2021 18:00;"Итерация №1
2021-03-04 - Stage Planned ? Develop
          Количество дней: 83.9
2021-07-06 - Stage Develop ? Внут. согл.
          Количество дней: 48
2021-09-10 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-09-10 - Stage DEPiR ? Revision DEPiR
          Количество дней: 12.8
2021-09-29 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 7.2
2021-10-08 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-10-08 - Stage DEPiR ? Revision DEPiR
          Количество дней: 2.9
2021-10-13 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 3.1
2021-10-18 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-10-18 - Stage DEPiR ? Revision DEPiR
          Количество дней: 5
2021-10-25 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2.1
2021-10-27 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-10-27 - Stage DEPiR ? Revision DEPiR
          Количество дней: 1.7
2021-10-29 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.1
2021-10-29 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-10-29 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 4.1
2021-11-08 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 5.8
_________________________________________________________
Итерация №2
2021-11-16 - Stage Revision OIV ? Внут. согл.
          Количество дней: 0
2021-11-16 - Stage Внут. согл. ? Revision DEPiR
          Количество дней: 0
2021-11-16 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.3
2021-11-16 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-11-16 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 4.7
2021-11-23 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 8.9
_________________________________________________________
Итерация №3
2021-12-06 - Stage Revision OIV ? Внут. согл.
          Количество дней: 8.4
2021-12-16 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-16 - Stage DEPiR ? Revision DEPiR
          Количество дней: 12.9
2022-01-12 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1.1
2022-01-13 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2022-01-13 - Stage DEPiR ? Revision DEPiR
          Количество дней: 1.6
2022-01-17 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1.2
2022-01-18 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2022-01-18 - Stage DEPiR ? Revision DEPiR
          Количество дней: 1
2022-01-19 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.9
2022-01-20 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2022-01-20 - Stage DEPiR ? Revision DEPiR
          Количество дней: 4.7
2022-01-27 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0
2022-01-27 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2022-01-27 - Stage DEPiR ? Revision DEPiR
          Количество дней: 0.3
2022-01-27 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0
2022-01-27 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2022-01-27 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0.1
2022-01-27 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 6.7
_________________________________________________________
Итерация №4
2022-02-07 - Stage Revision OIV ? Внут. согл.
          Количество дней: 4.1
";9;6,55;3;1,76;11.02.2022 18:00;;Чурсина Мария Вячеславовна;Минин Александр Валерьевич;Чурсина Мария Вячеславовна;;;;;Нет;Электронный аукцион;Полностью YouTrackная;;Оказание услуг по PR-сопровождению деятельности органов исполнительной власти и подведомственных им организаций;"В соответствии с письмами:
1.	Комитета по туризму города Москвы № 01-23-20/21 от 22.01.2021.
2.	Департамента природопользования и охраны окружающей среды города Москвы от 01.02.2021.
3.	Департамента экономической политики и развития города Москвы от 05.02.2021 (с учетом дополнительно полученных комментариев Заказчика в эл. письме от 11.02.2021).
4.	Управления делами Мэра и Правительства Москвы № УД-01-09-88/21 от 09.02.2021
создана КПГЗ 03.15.10 «PR-УСЛУГИ» и позиция СПГЗ «Разработка и реализация PR-стратегии» (код ОКПД 2 «70.21.10.000 Услуги по связи с общественностью и информации», единица измерения – условная единица).

Включено в План стандартизации 2021 года на основании Протокола от 30.04.2021 № ДПР-П-30/21. (Основание разработки изменено с ""Поручение ДЭПиР или руоводства"" на ""План по стандартизации"" 26.07.2021)";04.03.2021 18:38;83,88;40,45;48,03;34,82;12,55;4,13;16,06;10,54;0,26;-1,95;51,86;20,67;21,33;1,41;;-9,83;;-7,15;;-0,69;;-4,38;;;150;47,48
147;FR-197;Поставка запасных частей для автомобилей и спецтехники;План по стандартизации;2021;4;СТЗ;DEPiR;;"Итерация №1
2021-03-10 - Stage Planned ? Develop
          Количество дней: 172.9
2021-11-15 - Stage Develop ? Внут. согл.
          Количество дней: 8.2
2021-11-25 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-11-25 - Stage DEPiR ? Revision DEPiR
          Количество дней: 17.9
2021-12-21 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.2
2021-12-21 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-21 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0.9
2021-12-22 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 14.2
_________________________________________________________
Итерация №2
2022-01-19 - Stage Revision OIV ? Внут. согл.
          Количество дней: 7.8
2022-01-31 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2022-01-31 - Stage DEPiR ? Revision DEPiR
          Количество дней: 5.2
2022-02-07 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.8
2022-02-08 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
";2;-0,45;1;-0,24;08.02.2022 12:00;;Баранов Алексей Александрович / Дергунов Дмитрий Александрович;Столянков Андрей Владиславович;Магамгазиев Расул Висхаджиевич;;;;;;;Полностью YouTrackная;;Поставка запасных частей для автомобилей и спецтехники;;10.03.2021 13:24;172,87;129,44;8,16;-5,05;7,75;-0,67;0,95;-4,57;0,02;-2,19;27,28;-3,91;14,16;-5,76;;-9,83;;-7,15;;-0,69;;-4,38;;;58;-44,52
148;FR-199;Поставка запасных частей для воздушных судов;План по стандартизации;2021;4;СТЗ;На согл. в ОИВ;;"Итерация №1
2021-03-10 - Stage Planned ? Develop
          Количество дней: 172.9
2021-11-15 - Stage Develop ? Внут. согл.
          Количество дней: 5.3
2021-11-22 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-11-22 - Stage DEPiR ? Revision DEPiR
          Количество дней: 2.1
2021-11-24 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.7
2021-11-25 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-11-25 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 8.2
2021-12-07 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 8.8
_________________________________________________________
Итерация №2
2021-12-20 - Stage Revision OIV ? Внут. согл.
          Количество дней: 2
2021-12-22 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-22 - Stage DEPiR ? Revision DEPiR
          Количество дней: 9.2
2022-01-12 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1.9
2022-01-14 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2022-01-14 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 16.7
";2;-0,45;1;-0,24;;17.01.2022 12:00;Баранов Алексей Александрович / Дергунов Дмитрий Александрович;Столянков Андрей Владиславович;Магамгазиев Расул Висхаджиевич;;;;;;;Полностью YouTrackная;;Поставка запасных частей для воздушных судов;;10.03.2021 13:37;172,86;129,43;5,26;-7,95;1,96;-6,46;2,61;-2,91;0,06;-2,15;36,28;5,09;12,14;-7,78;;-9,83;;-7,15;;-0,69;;-4,38;;;58;-44,52
149;FR-200;Поставка строительных инструментов;План по стандартизации;2021;3;СТЗ;Подготовка к РГ;15.09.2021 12:00;"Итерация №1
2021-03-10 - Stage Planned ? Develop
          Количество дней: 114.9
2021-08-23 - Stage Develop ? Внут. согл.
          Количество дней: 14
2021-09-10 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.5
2021-09-10 - Stage DEPiR ? Revision DEPiR
          Количество дней: 9.8
2021-09-24 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 3
2021-09-29 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-09-29 - Stage DEPiR ? Revision DEPiR
          Количество дней: 1.7
2021-10-01 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2
2021-10-05 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-10-05 - Stage DEPiR ? Revision DEPiR
          Количество дней: 3.2
2021-10-08 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 10.1
2021-10-22 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.8
2021-10-25 - Stage DEPiR ? Revision DEPiR
          Количество дней: 1.2
2021-10-26 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.8
2021-10-27 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-10-27 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 7.3
2021-11-09 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 9
_________________________________________________________
Итерация №2
2021-11-22 - Stage Revision OIV ? Внут. согл.
          Количество дней: 8.8
2021-12-03 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-03 - Stage DEPiR ? Revision DEPiR
          Количество дней: 9.3
2021-12-16 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2.6
2021-12-21 - Stage Внут. согл. ? Revision DEPiR
          Количество дней: 0.3
2021-12-21 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.1
2021-12-21 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-21 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 1.9
2021-12-23 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 5.8
_________________________________________________________
Итерация №3
2022-01-10 - Stage Revision OIV ? Внут. согл.
          Количество дней: 4.1
2022-01-14 - Stage Внут. согл. ? DEPiR
          Количество дней: 2.3
2022-01-18 - Stage DEPiR ? Revision DEPiR
          Количество дней: 0.7
2022-01-19 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1.1
2022-01-20 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2022-01-20 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 4.8
";6;3,55;2;0,76;18.01.2022 15:00;20.01.2022 12:00;Кольчинская Татьяна Вячеславовна / Плющева Наталия Михайловна;Столянков Андрей Владиславович;Магамгазиев Расул Висхаджиевич;;;;;;;Полностью YouTrackная;;Поставка строительных инструментов;;10.03.2021 13:39;114,87;71,44;14,03;0,82;12,86;4,44;19,55;14,03;3,95;1,74;39,78;8,59;14,81;-5,11;11,33;1,5;;-7,15;;-0,69;;-4,38;;;116;13,48
150;FR-202;Поставка запасных частей для ремонта автобусов;План по стандартизации;2021;4;СТЗ;DEPiR;;"Итерация №1
2021-03-10 - Stage Planned ? Develop
          Количество дней: 172.9
2021-11-15 - Stage Develop ? Внут. согл.
          Количество дней: 8.1
2021-11-25 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-11-25 - Stage DEPiR ? Revision DEPiR
          Количество дней: 17.1
2021-12-20 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1
2021-12-21 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-21 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0.9
2021-12-22 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 14.2
_________________________________________________________
Итерация №2
2022-01-19 - Stage Revision OIV ? Внут. согл.
          Количество дней: 8
2022-01-31 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
";1;-1,45;1;-0,24;31.01.2022 12:00;;Баранов Алексей Александрович / Дергунов Дмитрий Александрович;Столянков Андрей Владиславович;Магамгазиев Расул Висхаджиевич;;;;;;;Полностью YouTrackная;;Поставка запасных частей для ремонта автобусов;;10.03.2021 13:42;172,86;129,43;8,15;-5,06;7,97;-0,45;0,96;-4,56;0,05;-2,16;27;-4,19;14,18;-5,74;;-9,83;;-7,15;;-0,69;;-4,38;;;58;-44,52
151;FR-203;Поставка санитарно-технического оборудования;План по стандартизации;2021;3;СТЗ;Завершено;15.09.2021 12:00;"Итерация №1
2021-03-10 - Stage Planned ? Develop
          Количество дней: 114.9
2021-08-23 - Stage Develop ? Внут. согл.
          Количество дней: 13.2
2021-09-09 - Stage Внут. согл. ? DEPiR
          Количество дней: 1.3
2021-09-10 - Stage DEPiR ? Revision DEPiR
          Количество дней: 9.8
2021-09-24 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2.9
2021-09-29 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-09-29 - Stage DEPiR ? Revision DEPiR
          Количество дней: 1.9
2021-10-01 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.1
2021-10-01 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-10-01 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 6.1
2021-10-11 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 10.6
_________________________________________________________
Итерация №2
2021-10-26 - Stage Revision OIV ? Внут. согл.
          Количество дней: 10.1
2021-11-11 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-11-11 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 4.3
2021-11-17 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 9.6
_________________________________________________________
Итерация №3
2021-12-01 - Stage Revision OIV ? Внут. согл.
          Количество дней: 0.1
2021-12-01 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-01 - Stage DEPiR ? Revision DEPiR
          Количество дней: 0
2021-12-01 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.1
2021-12-01 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-01 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 1.7
2021-12-03 - Stage Подготовка к РГ ? РГ
          Количество дней: 11
2021-12-20 - Stage РГ ? Загрузка в ЕАИСТ
          Количество дней: 5.9
2021-12-28 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 1.3
";3;0,55;2;0,76;;01.12.2021 15:00;Кузнецова Ирина Валентиновна;Столянков Андрей Владиславович;Магамгазиев Расул Висхаджиевич;;;;;;;Полностью YouTrackная;;Поставка санитарно-технического оборудования;;10.03.2021 13:44;114,86;71,43;13,22;0,01;10,24;1,82;3,02;-2,5;1,36;-0,85;23,93;-7,26;20,23;0,31;11,04;1,21;5,92;-1,23;;-0,69;1,29;-3,09;20.12.2021 11:15;29.12.2021 16:16;90;-12,52
152;FR-204;Поставка сценического оборудования;План по стандартизации;2021;2;СТЗ;Завершено;11.06.2021 12:00;"Итерация №1
2021-03-10 - Stage Planned ? Develop
          Количество дней: 47.1
2021-05-18 - Stage Develop ? Внут. согл.
          Количество дней: 17
2021-06-10 - Stage Внут. согл. ? DEPiR
          Количество дней: 2.1
2021-06-15 - Stage DEPiR ? Revision DEPiR
          Количество дней: 6.8
2021-06-24 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 3
2021-06-29 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-06-29 - Stage DEPiR ? Revision DEPiR
          Количество дней: 0.2
2021-06-29 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.7
2021-06-30 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-06-30 - Stage DEPiR ? Revision DEPiR
          Количество дней: 0
2021-06-30 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.1
2021-06-30 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.8
2021-07-01 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 1
2021-07-02 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 9.3
_________________________________________________________
Итерация №2
2021-07-15 - Stage Revision OIV ? Внут. согл.
          Количество дней: 8
2021-07-27 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-07-27 - Stage DEPiR ? Revision DEPiR
          Количество дней: 1
2021-07-28 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1.8
2021-07-30 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-07-30 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 3.1
2021-08-04 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 5.1
_________________________________________________________
Итерация №3
2021-08-11 - Stage Revision OIV ? Внут. согл.
          Количество дней: 3.7
2021-08-17 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-08-17 - Stage DEPiR ? Revision DEPiR
          Количество дней: 0.2
2021-08-17 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.9
2021-08-18 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.8
2021-08-19 - Stage DEPiR ? Revision DEPiR
          Количество дней: 0
2021-08-19 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.1
2021-08-19 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-08-19 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 0.8
2021-08-20 - Stage Подготовка к РГ ? Revision OIV
          Количество дней: 15.4
_________________________________________________________
Итерация №4
2021-09-10 - Stage Revision OIV ? Внут. согл.
          Количество дней: 4.9
2021-09-17 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-09-17 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 0
2021-09-17 - Stage Подготовка к РГ ? РГ
          Количество дней: 4
2021-09-23 - Stage РГ ? Загрузка в ЕАИСТ
          Количество дней: 9.7
2021-10-07 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 9
";6;3,55;3;1,76;19.08.2021 18:00;;Кольчинская Татьяна Вячеславовна;Столянков Андрей Владиславович;Магамгазиев Расул Висхаджиевич;;;;;;;Полностью YouTrackная;;Поставка сценического оборудования;;10.03.2021 13:45;47,11;3,68;17,01;3,8;16,69;8,27;6,49;0,97;3,87;1,66;13,24;-17,95;14,36;-5,56;19,39;9,56;9,73;2,58;;-0,69;9,03;4,65;23.09.2021 17:28;20.10.2021 11:44;110;7,48
153;FR-205;Поставка экипировки, оборудования и инвентаря для летних видов спорта;План по стандартизации;2021;4;СТЗ;На согл. в ОИВ;;"Итерация №1
2021-03-10 - Stage Planned ? Develop
          Количество дней: 172.9
2021-11-15 - Stage Develop ? Внут. согл.
          Количество дней: 9.3
2021-11-26 - Stage Внут. согл. ? DEPiR
          Количество дней: 2
2021-11-30 - Stage DEPiR ? Revision DEPiR
          Количество дней: 15.1
2021-12-21 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1
2021-12-22 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2021-12-22 - Stage DEPiR ? Revision DEPiR
          Количество дней: 4.8
2021-12-29 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.9
2021-12-30 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-30 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 1.9
";2;-0,45;0;-1,24;30.12.2021 15:00;;Кольчинская Татьяна Вячеславовна / Плющева Наталия Михайловна;Столянков Андрей Владиславович;Магамгазиев Расул Висхаджиевич;;;;;;;Полностью YouTrackная;;Поставка экипировки, оборудования и инвентаря для летних видов спорта;;10.03.2021 13:47;172,86;129,43;9,28;-3,93;;-8,42;1,9;-3,62;2,13;-0,08;21,72;-9,47;23,27;3,35;;-9,83;;-7,15;;-0,69;;-4,38;;;58;-44,52
154;FR-206;Поставка стрелочной продукции;План по стандартизации;2021;4;ТТЗ;Подготовка к РГ;09.11.2021 18:00;"Итерация №1
2021-03-11 - Stage Planned ? Develop
          Количество дней: 138
2021-09-24 - Stage Develop ? Внут. согл.
          Количество дней: 30.3
2021-11-09 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-11-09 - Stage DEPiR ? Revision DEPiR
          Количество дней: 11.1
2021-11-24 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2.8
2021-11-29 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-11-29 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 3.2
2021-12-02 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 10.9
_________________________________________________________
Итерация №2
2021-12-17 - Stage Revision OIV ? Внут. согл.
          Количество дней: 7.8
2021-12-29 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2021-12-29 - Stage DEPiR ? Revision DEPiR
          Количество дней: 4.2
2022-01-12 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.9
2022-01-13 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2022-01-13 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0
2022-01-13 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 5
_________________________________________________________
Итерация №3
2022-01-20 - Stage Revision OIV ? Внут. согл.
          Количество дней: 1.9
2022-01-24 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.8
2022-01-25 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 10.1
";2;-0,45;2;0,76;;26.01.2022 12:00;Степанян Марк Маратович;Осипенкова Елена Владимировна;Чурсина Мария Вячеславовна;;Типовой;;Нет;Нет;Электронный аукцион;Полностью YouTrackная;;Поставка стрелочной продукции;;11.03.2021 10:00;138;94,57;30,28;17,07;9,65;1,23;3,67;-1,85;0,94;-1,27;28,59;-2,6;15,9;-4,02;3,31;-6,52;;-7,15;;-0,69;;-4,38;;;92;-10,52
155;FR-207;Оказание услуг по метрологическому обслуживанию средств измерений;План по стандартизации;2021;4;ТТЗ;DEPiR;19.11.2021 18:00;"Итерация №1
2021-03-24 - Stage Planned ? Develop
          Количество дней: 128.1
2021-09-23 - Stage Develop ? Внут. согл.
          Количество дней: 34
2021-11-12 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-11-12 - Stage DEPiR ? Revision DEPiR
          Количество дней: 12.2
2021-11-30 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 3
2021-12-03 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-03 - Stage DEPiR ? Revision DEPiR
          Количество дней: 6
2021-12-13 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1.9
2021-12-15 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2021-12-15 - Stage DEPiR ? Revision DEPiR
          Количество дней: 2.9
2021-12-20 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.1
2021-12-20 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-12-20 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0.1
2021-12-20 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 12.7
_________________________________________________________
Итерация №2
2022-01-14 - Stage Revision OIV ? Внут. согл.
          Количество дней: 8.3
2022-01-26 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
";3;0,55;1;-0,24;26.01.2022 18:00;;Морунов Олег Александрович;Осипенкова Елена Владимировна;Чурсина Мария Вячеславовна;;Типовой;;;;;Полностью YouTrackная;;Оказание услуг по метрологическому обслуживанию средств измерений;;24.03.2021 12:08;128,08;84,65;33,99;20,78;8,26;-0,16;4,92;-0,6;0,1;-2,11;33,18;1,99;12,71;-7,21;;-9,83;;-7,15;;-0,69;;-4,38;;;93;-9,52
156;FR-208;Оказание услуг по изготовлению корригирующих очков для обеспечения льготных категорий граждан в городе Москве;План по стандартизации;2021;2;ТТЗ;Завершено;07.06.2021 18:00;"Итерация №1
2021-04-12 - Stage Planned ? Develop
          Количество дней: 25.9
2021-05-20 - Stage Develop ? Внут. согл.
          Количество дней: 12
2021-06-07 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-06-07 - Stage DEPiR ? Revision DEPiR
          Количество дней: 9.1
2021-06-21 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1.2
2021-06-22 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-06-22 - Stage DEPiR ? Revision DEPiR
          Количество дней: 0.7
2021-06-23 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0
2021-06-23 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-06-23 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0.8
2021-06-24 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 20.3
_________________________________________________________
Итерация №2
2021-07-22 - Stage Revision OIV ? Внут. согл.
          Количество дней: 1
2021-07-23 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-07-23 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 2.9
2021-07-28 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 4.9
_________________________________________________________
Итерация №3
2021-08-04 - Stage Revision OIV ? Внут. согл.
          Количество дней: 1.2
2021-08-05 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-08-05 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 0.1
2021-08-05 - Stage Подготовка к РГ ? РГ
          Количество дней: 9
2021-08-18 - Stage РГ ? МРГ
          Количество дней: 12.8
2021-09-06 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 2.1
2021-09-08 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 4
";2;-0,45;2;0,76;09.08.2021 16:00;;Уфаркина Наталья Геннадьевна;Уфаркина Наталья Геннадьевна;Гудиев Зелимхан Куйраевич;;Типовой;;Нет;Да;Электронный аукцион;Полностью YouTrackная;;Оказание услуг по изготовлению корригирующих очков для обеспечения льготных категорий граждан в городе Москве;;12.04.2021 15:46;25,91;-17,52;11,99;-1,22;2,27;-6,15;1,2;-4,32;0;-2,21;13,63;-17,56;25,11;5,19;9,02;-0,81;12,77;5,62;2,06;1,37;4,04;-0,34;18.08.2021 18:30;14.09.2021 15:26;82;-20,52
